Data_Pedido,ID_Distribuidor,Regiao_Distribuidor,Porte_Distribuidor,ID_Produto,Categoria_Produto,Teve_Desconto_Volume,Faturado_R$,Volume_Vendido_Lotes
2022-01-01 00:00:00.000000000,DIST_RS_01,Sul,Medio,PROD_J01,Joelho,0,150000.0,10
2022-01-01 15:31:25.542771385,DIST_PR_01,Sul,Medio,PROD_Q02,Quadril,0,100000.0,4
2022-01-02 07:02:51.085542771,DIST_SP_01,Sudeste,Grande,PROD_C01,Coluna,0,105000.0,3
2022-01-02 22:34:16.628314157,DIST_SP_01,Sudeste,Grande,PROD_Q01,Quadril,1,355300.0,17
2022-01-03 14:05:42.171085542,DIST_RJ_01,Sudeste,Medio,PROD_P01,Parafusos,0,45000.0,9
2022-01-04 05:37:07.713856928,DIST_SP_01,Sudeste,Grande,PROD_J01,Joelho,0,165000.0,11
2022-01-04 21:08:33.256628314,DIST_SP_01,Sudeste,Grande,PROD_J01,Joelho,1,228000.0,16
2022-01-05 12:39:58.799399699,DIST_SP_01,Sudeste,Grande,PROD_J01,Joelho,0,180000.0,12
2022-01-06 04:11:24.342171085,DIST_RJ_01,Sudeste,Medio,PROD_C01,Coluna,0,245000.0,7
2022-01-06 19:42:49.884942471,DIST_BA_01,Nordeste,Grande,PROD_P01,Parafusos,0,35000.0,7
2022-01-07 11:14:15.427713856,DIST_MG_01,Sudeste,Medio,PROD_J01,Joelho,0,45000.0,3
2022-01-08 02:45:40.970485242,DIST_SP_01,Sudeste,Grande,PROD_J01,Joelho,0,225000.0,15
2022-01-08 18:17:06.513256628,DIST_AM_01,Norte,Pequeno,PROD_Q02,Quadril,0,75000.0,3
2022-01-09 09:48:32.056028014,DIST_BA_01,Nordeste,Grande,PROD_J01,Joelho,0,210000.0,14
2022-01-10 01:19:57.598799399,DIST_RJ_01,Sudeste,Medio,PROD_C01,Coluna,0,245000.0,7
2022-01-10 16:51:23.141570785,DIST_PR_01,Sul,Medio,PROD_Q01,Quadril,0,110000.0,5
2022-01-11 08:22:48.684342171,DIST_AM_01,Norte,Pequeno,PROD_J01,Joelho,0,45000.0,3
2022-01-11 23:54:14.227113556,DIST_SP_01,Sudeste,Grande,PROD_Q01,Quadril,0,198000.0,9
2022-01-12 15:25:39.769884942,DIST_SP_01,Sudeste,Grande,PROD_Q01,Quadril,0,330000.0,15
2022-01-13 06:57:05.312656328,DIST_AM_01,Norte,Pequeno,PROD_J02,Joelho,0,92500.0,5
2022-01-13 22:28:30.855427713,DIST_PE_01,Nordeste,Pequeno,PROD_J01,Joelho,0,60000.0,4
2022-01-14 13:59:56.398199099,DIST_RS_01,Sul,Medio,PROD_C01,Coluna,0,315000.0,9
2022-01-15 05:31:21.940970485,DIST_MG_01,Sudeste,Medio,PROD_Q01,Quadril,0,176000.0,8
2022-01-15 21:02:47.483741871,DIST_RS_01,Sul,Medio,PROD_Q01,Quadril,0,66000.0,3
2022-01-16 12:34:13.026513256,DIST_BA_01,Nordeste,Grande,PROD_C01,Coluna,0,350000.0,10
2022-01-17 04:05:38.569284642,DIST_RS_01,Sul,Medio,PROD_J01,Joelho,0,30000.0,2
2022-01-17 19:37:04.112056028,DIST_SP_01,Sudeste,Grande,PROD_Q01,Quadril,0,66000.0,3
2022-01-18 11:08:29.654827413,DIST_RJ_01,Sudeste,Medio,PROD_P01,Parafusos,0,10000.0,2
2022-01-19 02:39:55.197598799,DIST_BA_01,Nordeste,Grande,PROD_J01,Joelho,0,60000.0,4
2022-01-19 18:11:20.740370185,DIST_SP_01,Sudeste,Grande,PROD_P01,Parafusos,0,10000.0,2
2022-01-20 09:42:46.283141570,DIST_PR_01,Sul,Medio,PROD_Q01,Quadril,0,88000.0,4
2022-01-21 01:14:11.825912956,DIST_RJ_01,Sudeste,Medio,PROD_C01,Coluna,0,210000.0,6
2022-01-21 16:45:37.368684342,DIST_PR_01,Sul,Medio,PROD_Q02,Quadril,0,175000.0,7
2022-01-22 08:17:02.911455728,DIST_PR_01,Sul,Medio,PROD_C01,Coluna,0,315000.0,9
2022-01-22 23:48:28.454227113,DIST_MG_01,Sudeste,Medio,PROD_J01,Joelho,0,150000.0,10
2022-01-23 15:19:53.996998499,DIST_RS_01,Sul,Medio,PROD_Q01,Quadril,0,88000.0,4
2022-01-24 06:51:19.539769885,DIST_RJ_01,Sudeste,Medio,PROD_Q02,Quadril,0,125000.0,5
2022-01-24 22:22:45.082541270,DIST_BA_01,Nordeste,Grande,PROD_Q01,Quadril,0,154000.0,7
2022-01-25 13:54:10.625312656,DIST_PR_01,Sul,Medio,PROD_Q01,Quadril,0,44000.0,2
2022-01-26 05:25:36.168084042,DIST_SP_01,Sudeste,Grande,PROD_Q01,Quadril,0,176000.0,8
2022-01-26 20:57:01.710855427,DIST_RS_01,Sul,Medio,PROD_Q01,Quadril,0,220000.0,10
2022-01-27 12:28:27.253626813,DIST_MG_01,Sudeste,Medio,PROD_Q02,Quadril,0,150000.0,6
2022-01-28 03:59:52.796398199,DIST_RS_01,Sul,Medio,PROD_P01,Parafusos,0,50000.0,10
2022-01-28 19:31:18.339169585,DIST_SP_01,Sudeste,Grande,PROD_Q02,Quadril,0,250000.0,10
2022-01-29 11:02:43.881940970,DIST_BA_01,Nordeste,Grande,PROD_C01,Coluna,0,490000.0,14
2022-01-30 02:34:09.424712356,DIST_RS_01,Sul,Medio,PROD_Q01,Quadril,0,132000.0,6
2022-01-30 18:05:34.967483742,DIST_RS_01,Sul,Medio,PROD_P01,Parafusos,0,40000.0,8
2022-01-31 09:37:00.510255127,DIST_PR_01,Sul,Medio,PROD_J01,Joelho,0,90000.0,6
2022-02-01 01:08:26.053026513,DIST_MG_01,Sudeste,Medio,PROD_Q01,Quadril,0,66000.0,3
2022-02-01 16:39:51.595797899,DIST_BA_01,Nordeste,Grande,PROD_J01,Joelho,0,120000.0,8
2022-02-02 08:11:17.138569285,DIST_BA_01,Nordeste,Grande,PROD_Q01,Quadril,0,198000.0,9
2022-02-02 23:42:42.681340670,DIST_RJ_01,Sudeste,Medio,PROD_P01,Parafusos,0,60000.0,12
2022-02-03 15:14:08.224112056,DIST_SP_01,Sudeste,Grande,PROD_C01,Coluna,0,280000.0,8
2022-02-04 06:45:33.766883442,DIST_SP_01,Sudeste,Grande,PROD_J01,Joelho,0,45000.0,3
2022-02-04 22:16:59.309654827,DIST_RJ_01,Sudeste,Medio,PROD_J02,Joelho,0,148000.0,8
2022-02-05 13:48:24.852426213,DIST_SP_01,Sudeste,Grande,PROD_Q02,Quadril,0,275000.0,11
2022-02-06 05:19:50.395197599,DIST_RJ_01,Sudeste,Medio,PROD_J01,Joelho,0,105000.0,7
2022-02-06 20:51:15.937968984,DIST_RS_01,Sul,Medio,PROD_J01,Joelho,0,30000.0,2
2022-02-07 12:22:41.480740370,DIST_RJ_01,Sudeste,Medio,PROD_J01,Joelho,0,90000.0,6
2022-02-08 03:54:07.023511756,DIST_PR_01,Sul,Medio,PROD_Q01,Quadril,0,110000.0,5
2022-02-08 19:25:32.566283141,DIST_PR_01,Sul,Medio,PROD_Q02,Quadril,0,75000.0,3
2022-02-09 10:56:58.109054527,DIST_SP_01,Sudeste,Grande,PROD_P01,Parafusos,0,25000.0,5
2022-02-10 02:28:23.651825913,DIST_PR_01,Sul,Medio,PROD_P01,Parafusos,0,45000.0,9
2022-02-10 17:59:49.194597299,DIST_PE_01,Nordeste,Pequeno,PROD_J01,Joelho,0,90000.0,6
2022-02-11 09:31:14.737368684,DIST_RS_01,Sul,Medio,PROD_C01,Coluna,0,175000.0,5
